82 1631708157 8,946495 0,200000 8,946495 8,946495 16,007953
118 1631708157 13,131483 0,400000 13,104178 13,158787 68,974635
112 1631708157 12,712442 0,400000 12,700509 12,724374 64,642525
79 1631708157 12,662008 0,200000 12,662008 12,662008 32,065288
121 1631708157 12,661962 0,200000 12,661962 12,661962 32,065055
109 1631708158 8,946422 0,200000 8,946422 8,946422 16,007692
58 1631708158 3,209812 0,400000 3,207082 3,212543 4,121161
88 1631708158 12,712484 0,400000 12,700546 12,724423 64,642962
115 1631708158 2,135064 0,200000 2,135064 2,135064 0,911699
106 1631708158 2,117147 0,600000 2,115530 2,119936 2,689390
97 1631708158 13,131535 0,400000 13,104233 13,158836 68,975178
103 1631708158 2,105157 1,000000 2,084734 2,121073 4,431893
100 1631708158 3,174080 0,200000 3,174080 3,174080 2,014957
91 1631708158 9,529279 0,200000 9,529279 9,529279 18,161431
94 1631708158 2,084027 0,600000 2,079787 2,090054 2,605912
85 1631708158 9,529332 0,200000 9,529332 9,529332 18,161632
124 1631708158 2,812593 1,200000 2,139299 3,164835 9,758050
82 1631708158 8,946495 0,200000 8,946495 8,946495 16,007953
118 1631708158 13,131483 0,400000 13,104178 13,158787 68,974635
112 1631708158 12,712442 0,400000 12,700509 12,724374 64,642525
79 1631708158 12,662008 0,200000 12,662008 12,662008 32,065288
121 1631708158 12,661962 0,200000 12,661962 12,661962 32,065055
58 1631708159 2,251317 0,600000 2,244332 2,259379 3,041079
124 1631708159 2,172915 0,600000 2,166106 2,177616 2,832949
128 1631708159 17,506234 0,600000 17,490980 17,515369 183,881000
131 1631708159 17,506158 0,600000 17,490860 17,515327 183,879416
58 1631708160 2,251317 0,600000 2,244332 2,259379 3,041079
124 1631708160 2,172915 0,600000 2,166106 2,177616 2,832949
128 1631708160 17,506234 0,600000 17,490980 17,515369 183,881000
131 1631708160 17,506158 0,600000 17,490860 17,515327 183,879416
58 1631708161 2,251317 0,600000 2,244332 2,259379 3,041079
124 1631708161 2,172915 0,600000 2,166106 2,177616 2,832949
128 1631708161 17,506234 0,600000 17,490980 17,515369 183,881000
131 1631708161 17,506158 0,600000 17,490860 17,515327 183,879416
58 1631708162 2,251317 0,600000 2,244332 2,259379 3,041079
124 1631708162 2,172915 0,600000 2,166106 2,177616 2,832949
128 1631708162 17,506234 0,600000 17,490980 17,515369 183,881000
131 1631708162 17,506158 0,600000 17,490860 17,515327 183,879416
58 1631708163 2,251317 0,600000 2,244332 2,259379 3,041079
124 1631708163 2,172915 0,600000 2,166106 2,177616 2,832949
128 1631708163 17,506234 0,600000 17,490980 17,515369 183,881000
131 1631708163 17,506158 0,600000 17,490860 17,515327 183,879416
46 1631708184 0,136024 0,200000 0,136024 0,136024 0,003701
46 1631708185 0,136024 0,200000 0,136024 0,136024 0,003701
46 1631708186 0,136024 0,200000 0,136024 0,136024 0,003701
46 1631708187 0,136024 0,200000 0,136024 0,136024 0,003701
46 1631708188 0,136024 0,200000 0,136024 0,136024 0,003701
