offline_datapoint_13 1631708150 13370,698
offline_datapoint_19 1631708152 0,000
offline_datapoint_0 1631708150 12308,326
offline_datapoint_16 1631708150 4023,283
offline_datapoint_29 1631708150 1,090
offline_datapoint_17 1631708150 42,455
offline_datapoint_10 1631708150 98,893
offline_datapoint_30 1631708150 1,990
offline_datapoint_23 1631708150 23212,000
offline_datapoint_4 1631708150 0,022
offline_datapoint_11 1631708155 136507,000
offline_datapoint_5 1631708155 3409,000
offline_datapoint_18 1631708153 55,861
offline_datapoint_27 1631708155 492720128,000
offline_datapoint_14 1631708155 936972288,000
offline_datapoint_3 1631708155 6767230976,000
offline_datapoint_9 1631708155 310874112,000
offline_datapoint_26 1631708155 2653,000
offline_datapoint_20 1631708153 31,429
offline_datapoint_8 1631708153 21372,132
offline_datapoint_22 1631708155 310874112,000
offline_datapoint_1 1631708153 6,947
offline_datapoint_21 1631708155 4186677248,000
offline_datapoint_7 1631708155 6647906304,000
offline_datapoint_6 1631708153 0,388
offline_datapoint_12 1631708153 20,193
offline_datapoint_25 1631708153 9,564
offline_datapoint_13 1631708153 11500,895
offline_datapoint_19 1631708155 0,000
offline_datapoint_0 1631708153 12424,566
offline_datapoint_16 1631708153 2306,862
offline_datapoint_29 1631708153 0,725
offline_datapoint_17 1631708153 97,263
offline_datapoint_10 1631708153 99,339
offline_datapoint_30 1631708153 18,196
offline_datapoint_23 1631708153 6967,728
offline_datapoint_4 1631708153 0,015
offline_datapoint_11 1631708158 136507,000
offline_datapoint_5 1631708158 3431,000
offline_datapoint_18 1631708156 55,915
offline_datapoint_27 1631708158 492716032,000
offline_datapoint_14 1631708158 937263104,000
offline_datapoint_3 1631708158 6773776384,000
offline_datapoint_9 1631708158 310562816,000
offline_datapoint_26 1631708158 2654,000
offline_datapoint_20 1631708156 5,648
offline_datapoint_8 1631708156 17877,837
offline_datapoint_22 1631708158 310562816,000
offline_datapoint_1 1631708156 0,664
offline_datapoint_21 1631708158 4192587776,000
offline_datapoint_7 1631708158 6654779392,000
offline_datapoint_6 1631708156 0,195
offline_datapoint_12 1631708156 12,464
offline_datapoint_25 1631708156 6,035
offline_datapoint_13 1631708156 11398,853
offline_datapoint_19 1631708158 0,000
offline_datapoint_0 1631708156 10545,043
offline_datapoint_16 1631708156 2188,675
offline_datapoint_29 1631708156 0,524
offline_datapoint_17 1631708156 57,807
offline_datapoint_10 1631708156 99,459
offline_datapoint_30 1631708156 7,641
offline_datapoint_23 1631708156 8421,517
offline_datapoint_4 1631708156 0,010
offline_datapoint_11 1631708161 136507,000
offline_datapoint_5 1631708161 3435,000
offline_datapoint_18 1631708159 55,927
offline_datapoint_27 1631708161 492716032,000
offline_datapoint_14 1631708161 937824256,000
offline_datapoint_3 1631708161 6775144448,000
offline_datapoint_9 1631708161 310345728,000
offline_datapoint_26 1631708161 2638,000
offline_datapoint_20 1631708159 6,325
offline_datapoint_8 1631708159 11493,289
offline_datapoint_22 1631708161 310345728,000
offline_datapoint_1 1631708159 0,999
offline_datapoint_21 1631708161 4193513472,000
offline_datapoint_7 1631708161 6657552384,000
offline_datapoint_6 1631708159 0,325
offline_datapoint_12 1631708159 13,990
offline_datapoint_25 1631708159 6,631
offline_datapoint_13 1631708159 8158,750
offline_datapoint_19 1631708161 0,000
offline_datapoint_0 1631708159 10276,916
offline_datapoint_16 1631708159 1950,390
offline_datapoint_29 1631708159 0,432
offline_datapoint_17 1631708159 28,961
offline_datapoint_10 1631708159 99,462
offline_datapoint_30 1631708159 0,000
offline_datapoint_23 1631708159 15065,747
offline_datapoint_4 1631708159 0,009
offline_datapoint_11 1631708164 136507,000
offline_datapoint_5 1631708164 3432,000
offline_datapoint_18 1631708162 55,917
offline_datapoint_27 1631708164 492716032,000
offline_datapoint_14 1631708164 937824256,000
offline_datapoint_3 1631708164 6773927936,000
offline_datapoint_9 1631708164 310263808,000
offline_datapoint_26 1631708164 2637,000
offline_datapoint_20 1631708162 0,000
offline_datapoint_8 1631708162 6663,667
offline_datapoint_22 1631708164 310263808,000
offline_datapoint_1 1631708162 0,000
offline_datapoint_21 1631708164 4192731136,000
offline_datapoint_7 1631708164 6657531904,000
offline_datapoint_6 1631708162 0,195
offline_datapoint_12 1631708162 8,165
offline_datapoint_25 1631708162 4,100
offline_datapoint_13 1631708162 6688,330
offline_datapoint_19 1631708164 0,000
offline_datapoint_0 1631708162 8220,767
offline_datapoint_16 1631708162 1705,744
offline_datapoint_29 1631708162 0,268
offline_datapoint_17 1631708162 3,999
offline_datapoint_10 1631708162 99,728
offline_datapoint_30 1631708162 1,333
offline_datapoint_23 1631708162 155306,667
offline_datapoint_4 1631708162 0,005
offline_datapoint_11 1631708167 136507,000
offline_datapoint_5 1631708167 3421,000
offline_datapoint_18 1631708165 55,900
offline_datapoint_27 1631708167 492716032,000
offline_datapoint_14 1631708167 937824256,000
offline_datapoint_3 1631708167 6771929088,000
offline_datapoint_9 1631708167 310448128,000
offline_datapoint_26 1631708167 2636,000
offline_datapoint_20 1631708165 0,000
offline_datapoint_8 1631708165 669,776
offline_datapoint_22 1631708167 310448128,000
offline_datapoint_1 1631708165 0,000
offline_datapoint_21 1631708167 4192149504,000
offline_datapoint_7 1631708167 6657310720,000
offline_datapoint_6 1631708165 0,130
offline_datapoint_12 1631708165 5,865
offline_datapoint_25 1631708165 3,376
offline_datapoint_13 1631708165 5974,133
offline_datapoint_19 1631708167 0,000
offline_datapoint_0 1631708165 7277,786
offline_datapoint_16 1631708165 1500,431
offline_datapoint_29 1631708165 0,286
offline_datapoint_17 1631708165 33,572
offline_datapoint_10 1631708165 99,717
offline_datapoint_30 1631708165 1,330
offline_datapoint_23 1631708165 5555,960
offline_datapoint_4 1631708165 0,006
offline_datapoint_11 1631708170 136507,000
offline_datapoint_5 1631708170 3422,000
offline_datapoint_18 1631708168 55,907
